Variação mensal por cidade
  ;Aracaju (SE);Belo Horizonte (MG);Belém (PA);Brasil;Brasília (DF);Campo Grande (MS);Curitiba (PR);Fortaleza (CE);Goiânia (GO);Grande Vitória (ES);Porto Alegre (RS);Recife (PE);Rio Branco (AC);Rio de Janeiro (RJ);Salvador (BA);São Luís (MA);São Paulo (SP)
fevereiro 2022;1.26;1.07;0.97;1.01;0.93;1.06;1.28;0.77;0.91;0.86;0.43;0.97;0.93;1.32;0.83;1.33;1.05

Fonte: "IBGE - Índice Nacional de Preços ao Consumidor Amplo"
